# stem	genders(m,f,n)	kind — from Monier-Williams (CDSL), see scripts/import-mw.ts
धातृपुष्पिका	f	noun
धातृभवन	n	noun
धात्र	n	noun,adj
धात्रि	f	noun
धात्रिका	f	noun
धात्री	f	noun
धात्रीधर	m	noun
धात्रीपत्त्र	n	noun
धात्रीपुत्र	m	noun
धात्रीफल	n	noun
धात्रीमोदक	m	noun
धात्रीश्वरी	f	noun
धात्रेयिका	f	noun
धात्रेयी	f	noun
धात्वर्थ	m	noun
धात्ववरोपण	n	noun
धात्वाकर	m	noun
धात्वाकराख्य	n	noun
धान	n	noun,adj
धानंजय्य	m	noun,adj
धानक	m,n	noun
धानका	f	noun
धानद		adj
धानपत		adj
धानश्री	f	noun
धानसी	f	noun
धाना	f	noun
धानाक	m,n	noun
धानाका	f	noun
धानाचूर्ण	n	noun
धानान्तर्वत्	m	noun
धानापूप	m	noun
धानाफलव्रतकथा	f	noun
धानाभर्जन	n	noun
धानामुष्टि	f	noun
धानारुह्		adj
धानावत्		adj
धानासोम	m	noun
धानिका	f	noun
धानिन्	m	noun
धानी	f	noun
धानुर्दण्डिक		adj
धानुर्वेद	m	noun
धानुष्क	m	noun,adj
धानुष्कता	f	noun
धानुष्का	f	noun
धानुष्य	m	noun
धानेय	n	noun
धान्धा	f	noun
धान्ध्य	n	noun
धान्य	n	noun,adj
धान्यक	m,n	noun,adj
धान्यकर्तन	n	noun
धान्यकल्क	m	noun
धान्यकूट	m	noun
धान्यकोश	m	noun
धान्यकोष्टक	n	noun
धान्यक्षेत्र	n	noun
धान्यखल	m	noun
धान्यगव	m	noun
धान्यचमस	m	noun
धान्यचारिन्		adj
धान्यचौर	m	noun
धान्यजीविन्	m	noun,adj
धान्यता	f	noun
धान्यतिल्विल		adj
धान्यत्वच्	f	noun
धान्यद		adj
धान्यधन	n	noun
धान्यधनतस्		ind
धान्यधनवत्		adj
धान्यधेनु	f	noun
धान्यपञ्चक	n	noun
धान्यपत	m	noun,adj
धान्यपर्वतदानविधि	m	noun
धान्यपात्र	n	noun
धान्यपाल	m	noun
धान्यपूल	m	noun
धान्यबीज	n	noun
धान्यमय		adj
धान्यमातृ	m	noun
धान्यमान	n	noun
धान्यमाय	m	noun
धान्यमाष	m	noun
धान्यमिश्र		adj
धान्यमिश्रा	f	noun
धान्यराज	m	noun
धान्यरोपण	n	noun
धान्यवत्		adj
धान्यवपन	n	noun
धान्यवर्धन	n	noun
धान्यवीर	m	noun
धान्यशीर्षक	n	noun
धान्यशूक	n	noun
धान्यशैलदान	n	noun
धान्यश्रेष्ठ	n	noun
धान्यसंग्रह	m	noun
धान्यसार	m	noun
धान्यांश	m	noun
धान्याकृत्	m	noun
धान्याचल	m	noun
धान्याद		adj
धान्याभ्र	n	noun
धान्याम्ल	n	noun
धान्यायन	m	noun
धान्यारि	m	noun
धान्यार्घ	m	noun
धान्यार्थ	m	noun
धान्यास्थि	n	noun
धान्येय	n	noun
धान्योत्तम	m	noun
धान्व	m	noun,adj
धान्वन	m	noun,adj
धान्वन्तर		adj
धान्वपत		adj
धाम	m,n	noun
धामक	m	noun
धामकेशिन्		adj
धामच्छद्	m	noun,adj
धामधा	m	noun
धामनिका	f	noun
धामनिधि	m	noun
धामनी	f	noun
धामन्	m,n	noun
धामभाज्		adj
धाममानिन्		adj
धामवत्		adj
धामशस्		ind
धामसाच्		adj
धामाधिप	m	noun
धामार्ग	m	noun
धामार्गव	m	noun
धाय	m	noun,adj
धायस्	n	noun,adj
धायिने	n	noun
धायु		adj
धाय्य	m	noun,adj
धाय्या	f	noun
धार	m	noun,adj
धारक	m	noun,adj
धारका	f	noun
धारण	f,m,n	noun,adj
धारणक	m	noun,adj
धारणपात्र	n	noun
धारणमातृका	f	noun
धारणयन्त्र	n	noun
धारणलक्षण	n	noun
धारणा	f	noun
धारणात्मक		adj
धारणाध्ययन	n	noun
धारणान्वित		adj
धारणापारणव्रत	n	noun
धारणामय		adj
धारणायुक्त		adj
धारणायोग	m	noun
धारणावत्		adj
धारणि	m	noun
धारणी	f	noun
धारणीमति	m	noun
धारणीमुखसर्वजगत्प्रणिधिसंधारणगर्भ	m	noun
धारणीय		adj
धारणीया	f	noun
धारणीराज	m	noun
धारपूत		adj
धारय		adj
धारयत्		adj
धारयत्कवि		adj
धारयत्क्षिति		adj
धारयद्वत्		adj
धारयाण		adj
धारयितव्य		adj
धारयितृ	m	noun
धारयित्री	f	noun
धारयिष्णु		adj
धारयिष्णुता	f	noun
धारयु		adj
धारलोपक	m	noun
धारवाक		adj
धारा	f	noun
धाराकदम्ब	m	noun
धारागृह	n	noun
धारागृहत्व	n	noun
धाराग्र	n	noun
धाराग्रह	m	noun
धाराघोष	m	noun
धाराङ्कुर	m	noun
धाराङ्ग	m	noun
धाराजल	n	noun
धाराञ्चल	m	noun
धाराट	m	noun
धाराधर	m	noun
धाराधरागम	m	noun
धाराधरात्यय	m	noun
धाराधरोद्यान	n	noun
धाराधिरूढ		adj
धाराध्वनि	m	noun
धारानिपात	m	noun
धारानुयाज	m	noun
धारान्तरचर		adj
धारापथ	m	noun
धारापयस्	n	noun
धारापात	m	noun
धाराफल	m	noun
धाराम्भस्	n	noun
धारायन्त्र	n	noun
धारायन्त्रगृह	n	noun
धारायाज	m	noun
धाराल		adj
धारावती	f	noun
धारावत्		adj
धारावनि	m	noun
धारावर		adj
धारावर्त	m	noun
धारावर्तेन		ind
धारावर्ष	m	noun
धारावास	m	noun
धाराविष	m	noun
धाराशित		adj
धाराश्रु	n	noun
धारासम्पात	m	noun
धारासलिल	n	noun
धारासार	m	noun
धारासूर	m	noun
धारास्नुही	f	noun
धारि		adj
धारिका	f	noun
धारिणी	f	noun
धारित	n	noun,adj
धारिन्	m	noun,adj
धारु		adj
धारेश्वर	m	noun
धारोर्मि	m	noun
धारोष्ण		adj
धार्तराज्ञ	m	noun
धार्तराज्ञक		adj
धार्तराज्ञी	f	noun
धार्तराष्ट्र	m	noun,adj
धार्तराष्ट्रपदी	f	noun
धार्तराष्ट्रि	m	noun
धार्तेय	m	noun
धार्तेयी	f	noun
धार्म		adj
धार्मपत		adj
धार्मपत्तन	n	noun
धार्मविद्य		adj
धार्मिक	m	noun,adj
धार्मिकता	f	noun
धार्मिण	n	noun
धार्मुक		adj
धार्म्यायण	m	noun
धार्य	n	noun,adj
धार्यत्व	n	noun
धार्यमाण		adj
धार्यमाणत्व	n	noun
धार्ष्ट		adj
धार्ष्टद्युम्न	m	noun
धार्ष्ट्य	n	noun
धार्ष्ट्यभूमि	f	noun
धार्ष्णक		adj
धाव	m	noun,adj
धावक	m	noun,adj
धावत्		adj
धावन	n	noun,adj
धावनी	f	noun
धावमान		adj
धावल्य	n	noun
धावित		adj
धावितृ	m	noun
धाविन्		adj
धासस्	m	noun
धासि	f,m	noun
धास्यु		adj
धि	m	noun
धिक्		ind
धिक्क	m	noun
धिक्कार	m	noun
धिक्कृत	n	noun,adj
धिक्क्रिया	f	noun
धिक्पारुष्य	n	noun
धिग्दण्ड	m	noun
धिग्वण	m	noun
धिग्वाद	m	noun
धित		adj
धितावन्		adj
धिति	f	noun
धित्स्य		adj
धिप्सु		adj
धियंजिन्व		adj
धियंधा		adj
धियसान		adj
धियाजुर्		adj
धियाम्पति	m	noun
धियायु		adj
धियावसु		adj
धिषण	m,n	noun,adj
धिषणा	f	noun
धिषण्य		adj
धिष्णिय	m	noun
धिष्णीय		adj
धिष्ण्य	m,n	noun,adj
धिष्ण्यप	m	noun
धिष्ण्यवत्		adj
धिष्ण्यविहरण	n	noun
धिष्ण्यहोम	m	noun
धिष्ण्या	f,n	noun
धिष्ण्याधिपति	m	noun
धी	f	noun
धीकर्मन्	n	noun
धीकोटी	f	noun
धीजड	m	noun
धीजवन		adj
धीत	n	noun,adj
धीतरस		adj
धीता	f	noun
धीति	f	noun
धीतिक	m	noun
धीतीका	f	noun
धीतोकक	m	noun
धीदा	f	noun
धीन	n	noun
धीन्द्रिय	n	noun
धीमत्	m	noun,adj
धीमरण	m	noun
धीर	m,n	noun,adj
धीरगोविन्दशर्मन्	m	noun
धीरचेतस्		adj
धीरण		adj
धीरता	f	noun
धीरत्व	n	noun
धीरध्वनि	m	noun
धीरनाग	m	noun
धीरपत्त्री	f	noun
धीरप्रशान्त		adj
धीरप्रशान्तस्वर		adj
धीरभाव	m	noun
धीरम्		ind
धीररञ्जनिका	f	noun
धीरललित		adj
धीरललिता	f	noun
धीरशान्त		adj
धीरशिव	m	noun
धीरसत्त्व		adj
धीरस्कन्ध	m	noun
धीरा	f	noun
धीराज	m	noun
धीराधीरा	f	noun
धीरावी	f	noun
धीरेन्द्र	m	noun
धीरेशमिश्र	m	noun
धीरेश्वर	m	noun
धीरोदात्त		adj
धीरोद्धत		adj
धीरोष्णिन्	m	noun
धीर्य	n	noun,adj
धीलटी	f	noun
धीवत्		adj
धीवन्	m	noun,adj
धीवर	m,n	noun
धीवरी	f	noun
धीविभ्रम	m	noun
धीवृद्धिद	m	noun
धीशक्ति	f	noun
धीशोधिनी	f	noun
धीसंतति	f	noun
धीसख	m	noun
धीहरा	f	noun
धु	f	noun
धुक	m	noun
धुका	f	noun
धुक्का	f	noun
धुङ्क्षा	f	noun
धुत		adj
धुतपाप		adj
धुन		adj
धुनन	n	noun
धुनान		adj
धुनि	m	noun,adj
धुनिमत्		adj
धुनिव्रत		adj
धुनी	f	noun
धुनीचुमुरि	m	noun
धुनीनाथ	m	noun
धुनेति		adj
धुन्धु	m	noun
धुन्धुक	n	noun
धुन्धुमत्		adj
धुन्धुमार	m	noun
धुन्धुमारत्व	n	noun
धुन्धुमारोपाख्यान	n	noun
धुन्धुहन्	m	noun
धुन्वान		adj
धुर	m	noun,adj
धुरंधर	m	noun,adj
धुरा	f	noun
धुरावह		adj
धुरि	m	noun
धुरिका	f	noun
धुरीण	m	noun,adj
धुरीय	m	noun,adj
धुर्	f	noun
धुर्य	m,n	noun,adj
धुर्यता	f	noun
धुर्यवत्		ind
धुर्यवाह	m	noun
धुर्यासन	n	noun
धुर्येतर		adj
धुवक	m	noun
धुवका	f	noun
धुवकिन्		adj
धुवन	m,n	noun
धुवित्र	n	noun
धुशुल्या	f	noun
धू	f	noun
धूक	m	noun
धूण	m	noun
धूत	n	noun,adj
धूतकल्मष		adj
धूतगुण	m	noun
धूतपाप		adj
धूतपापक	n	noun
धूतपापा	f	noun
धूतपाप्मन्		adj
धूता	f	noun
धूति	m	noun
धूत्कार	m	noun
धून		adj
धूनक	m	noun
धूनन	m,n	noun
धूनि	f	noun
धून्वत्	m	noun,adj
धूप	m	noun
धूपक	m	noun
धूपकटच्छुक	n	noun
धूपतृण	n	noun
धूपदान	n	noun
धूपधूपित		adj
धूपन	n	noun
धूपनधूपित		adj
धूपनेत्र	n	noun
धूपपात्र	n	noun
धूपयितव्य		adj
धूपवर्ति	f	noun
धूपवृक्ष	m	noun
धूपवृक्षक	m	noun
धूपागुरु	n	noun
धूपाङ्ग	m	noun
धूपाङ्गद	m	noun
धूपायित		adj
धूपार्ह	n	noun
धूपि	m	noun
धूपिक	m	noun
धूपित		adj
धूपिन्		adj
धूपोष्मन्	m	noun
धूप्य	m	noun,adj
धूम	m	noun
धूमक	m	noun,adj
धूमकपुष्पा	f	noun
धूमकेतन	m	noun
धूमकेतु	m	noun,adj
धूमगन्धि		adj
धूमगन्धिक	m	noun
धूमग्रह	m	noun
धूमज	n	noun
धूमजाल	n	noun
धूमता	f	noun
धूमतान्त		adj
धूमदर्शिन्		adj
धूमधूम्र		adj
धूमध्वज	m	noun
धूमन	n	noun
धूमनिर्गमन	n	noun
धूमनेत्र	m,n	noun
धूमप		adj
धूमपथ	m	noun
धूमपल्लव	m	noun
धूमपात	m	noun
धूमपान	n	noun
धूमपानविधि	m	noun
धूमप्रभा	f	noun
धूमप्राश		adj
धूममय		adj
धूममहिषी	f	noun
धूमयोनि	m	noun
धूमरक्त		adj
धूमराजि	f	noun
धूमरी	f	noun
धूमल	m	noun,adj
धूमलव	m	noun
धूमलेखा	f	noun
धूमवत्		adj
धूमवत्त्व	n	noun
धूमवद्गति		adj
धूमवर्चस्	m	noun
धूमवर्ण	m	noun
धूमवर्ति	f	noun
धूमवर्त्मन्	n	noun
धूमशिखा	f	noun
धूमस	m	noun
धूमसंहति	f	noun
धूमसी	f	noun
धूमा	f	noun
धूमाकार		adj
धूमाक्ष		adj
धूमाङ्ग	m	noun
धूमानुबन्ध	m	noun
धूमाभ	m	noun,adj
धूमायन	n	noun
धूमायित	n	noun
धूमावती	f	noun
धूमावतीदीपदानपूजा	f	noun
धूमावतीपटल	m,n	noun
धूमावतीपूजापद्धति	f	noun
धूमावतीमनु	m	noun
धूमावतीमन्त्र	m	noun
धूमावलि	f	noun
धूमिका	f	noun
धूमित		adj
धूमिता	f	noun
धूमिनी	f	noun
धूमिन्		adj
धूमीका	f	noun
धूमोत्थ	n	noun
धूमोद्गम	m	noun
धूमोद्गार	m	noun
धूमोपहत		adj
धूमोर्णा	f	noun
धूमोर्णापति	m	noun
धूमोष्णयोनि	m	noun
धूम्या	f	noun
धूम्याट	m	noun
धूम्र	m,n	noun,adj
धूम्रक	m	noun
धूम्रकर्ण	m	noun
धूम्रकेतु	m	noun
धूम्रकेश	m	noun
धूम्रगिरि	m	noun
धूम्रजटिल		adj
धूम्रजानु		adj
धूम्रधी		adj
धूम्रनीकाश		adj
धूम्रपत्त्रा	f	noun
धूम्रमूलिका	f	noun
धूम्ररुच्		adj
धूम्ररोहित		adj
धूम्रललाम		adj
धूम्रलोचन	m	noun
धूम्रलोहित		adj
धूम्रवर्ण	m	noun,adj
धूम्रवर्णक	m	noun
धूम्रवर्णा	f	noun
धूम्रवर्णामनु	m	noun
धूम्रविद्या	f	noun
धूम्रवृत्तफला	f	noun
धूम्रशिख	m	noun
धूम्रशूक	m	noun
धूम्रसंरक्तलोचन		adj
धूम्रा	f	noun
धूम्राक्ष	m	noun,adj
धूम्राक्षि	m	noun
धूम्राट	m	noun
धूम्रानीक	m	noun
धूम्राभ	m	noun
धूम्रायण	m	noun
धूम्राश्व	m	noun
धूम्राह्वा	f	noun
धूम्रिका	f	noun
धूम्रिमन्	m	noun
धूम्रोर्णा	f	noun
धूरुषद्	m	noun
धूर्गत		adj
धूर्गृहीत		adj
धूर्जट	m	noun
धूर्जटि	m	noun
धूर्ण	m	noun
धूर्णि	f	noun
धूर्त	m,n	noun,adj
धूर्तक	m	noun,adj
धूर्तकितव	m	noun
धूर्तकृत्	m	noun
धूर्तचरित	n	noun
धूर्तजन्तु	m	noun
धूर्तता	f	noun
धूर्तत्व	n	noun
धूर्तनर्तक	n	noun
धूर्तप्रलाप	m	noun
धूर्तप्रहसन	n	noun
धूर्तमण्डल	n	noun
धूर्तमानुषा	f	noun
धूर्तरचना	f	noun
धूर्तराज	m	noun
धूर्तलवण	n	noun
धूर्तविडम्बन	n	noun
धूर्तस्वामिन्	m	noun
धूर्तस्वामिभाष्य	n	noun
धूर्ता	f	noun
धूर्ति	f	noun
धूर्धर	m	noun,adj
धूर्युज	m	noun
धूर्वत्		adj
धूर्वन्	n	noun
धूर्वह	m	noun,adj
धूर्वा	f	noun
धूर्वी	f	noun
धूर्षद्	m	noun,adj
धूर्षाह्		adj
धूलन	n	noun
धूलि	f	noun
धूलिका	f	noun
धूलिकुट्टिम	n	noun
धूलिकेदार	m	noun
धूलिगुच्छ	m	noun
धूलित		adj
धूलिधूम्र		adj
धूलिध्वज	m	noun
धूलिपटल	n	noun
धूलिपुष्पिका	f	noun
धूलिप्रक्षेप	m	noun
धूलिमय		adj
धूलिमुष्टि	m	noun
धूलीकदम्ब	m	noun
धूलीजङ्घ	m	noun
धूलीपतल	n	noun
धूलीमय		adj
धूलीवर्ष	m	noun
धूसर	m	noun,adj
धूसरक	m	noun
धूसरच्छदा	f	noun
धूसरत्व	n	noun
धूसरपत्त्रिका	f	noun
धूसरा	f	noun
धूसरित		adj
धूसरिमन्	m	noun
धूसरी	f	noun
धूस्तूर	m	noun
धृत	m,n	noun,adj
धृतक	m	noun
धृतकनकमाल		adj
धृतकार्मुकेषु		adj
धृतकेतु	m	noun
धृतक्लेश	m	noun
धृतगर्भा	f	noun
धृतचाप		adj
धृतताल	m	noun
धृतदक्ष		adj
धृतदण्ड		adj
धृतदीधिति	m	noun
धृतदेवा	f	noun
धृतद्वैधीभाव		adj
धृतधनुस्	m	noun
धृतनिश्चय		adj
धृतपट		adj
धृतपूर्व		adj
धृतप्रज		adj
धृतम्		ind
धृतराजन्	m	noun
धृतराष्ट्र	m	noun
धृतराष्ट्रज	m	noun
धृतराष्ट्रानुज	m	noun
धृतराष्ट्री	f	noun
धृतवती	f	noun
धृतवत्		adj
धृतवर्मन्	m	noun
धृतव्रत	m	noun,adj
धृतशरीर		adj
धृतश्री	f	noun
धृतसंकल्प		adj
धृतसंधि	m	noun
धृतहेति		adj
धृतातपत्र		adj
धृतात्मन्		adj
धृताम्भस्		adj
धृतार्चिस्	m	noun
धृति	f,m	noun
धृतिगृहीत		adj
धृतिपरिपूर्ण	m	noun
धृतिपरीतात्मन्		adj
धृतिमती	f	noun
धृतिमत्	m,n	noun,adj
धृतिमत्ता	f	noun
धृतिमय		adj
धृतिमालिन्	m	noun
धृतिमुष्		adj
धृतियोग	m	noun
धृतिषेण	m	noun
धृतिसिंह	m	noun
धृतेषुधि		adj
धृतैकवेणि		adj
धृतोत्सेक		adj
धृत्		adj
धृत्वन्	m	noun
धृत्वरी	f	noun
धृत्वा		ind
धृषज्	m	noun
धृषता		ind
धृषत्		adj
धृषद्वर्ण		adj
धृषद्विन्		adj
धृषन्मनस्		adj
धृषाण	m	noun
धृषित		adj
धृषिता		ind
धृषु	m	noun,adj
धृष्ट	m	noun,adj
धृष्टक	m	noun
धृष्टककथा	f	noun
धृष्टकेतु	m	noun
धृष्टतम		adj
धृष्टता	f	noun
धृष्टत्व	n	noun
धृष्टद्युम्न	m	noun
धृष्टधी	m	noun
धृष्टपराक्रम		adj
धृष्टमानिन्		adj
धृष्टम्		ind
धृष्टरथ	m	noun
धृष्टवादिन्		adj
धृष्टशर्मन्	m	noun
धृष्टा	f	noun
धृष्टि	f,m	noun,adj
धृष्टोक्त	m	noun
धृष्णज्		adj
धृष्णि	m	noun
धृष्णु	m,n	noun,adj
धृष्णुक	m	noun
धृष्णुत्व	n	noun
धृष्णुया		ind
धृष्णुषेण		adj
धृष्ण्वोजस्		adj
धृष्य		adj
धेन	m	noun
धेना	f	noun
धेनिका	f	noun
धेनी	f	noun
धेनु	f,n	noun,adj
धेनुक	m,n	noun
धेनुकध्वंसिन्	m	noun
धेनुकर	m	noun
धेनुकवध	m	noun
धेनुकसूदन	m	noun
धेनुका	f	noun
धेनुकादुग्ध	n	noun
धेनुकारि	m	noun
धेनुकाश्रम	m	noun
धेनुगोदुह	n	noun
धेनुत्व	n	noun
धेनुदक्षिण		adj
धेनुदुग्ध	n	noun
धेनुभव्या	f	noun
धेनुमक्षिका	f	noun
धेनुमती	f	noun
धेनुमत्		adj
धेनुम्भव्या	f	noun
धेनुष्टरी	f	noun
धेनुष्या	f	noun
धेनुष्यित		adj
धेन्वनडुह	n	noun
धेमात्र	m	noun
धेय	n	noun,adj
धेयेश्वर	m	noun
धेष्ठ		adj
धैनुक	n	noun
धैर्य	n	noun
धैर्यकलित		adj
धैर्यता	f	noun
धैर्यधर		adj
धैर्यध्वंस	m	noun
धैर्यपारमिता	f	noun
धैर्यमित्र	m	noun
धैर्ययुक्त		adj
धैर्यवत्		adj
धैर्यवृत्ति	f	noun,adj
धैवत	n	noun
धैवत्य	n	noun
धैवर		adj
धोईकवि	m	noun
धोड	m	noun
धोत्र	n	noun
धोयिन्	m	noun
धोरण	n	noun
धोरणी	f	noun
धोरित	n	noun
धौत	n	noun,adj
धौतक		adj
धौतकट	m	noun
धौतकुष्ठ	n	noun
धौतकोशज	n	noun
धौतखण्डी	f	noun
धौतदन्त		adj
धौतपाप्मन्		adj
धौतबली	f	noun
धौतमूल		adj
धौतमूलक	m	noun
धौतय	n	noun
धौतरी	f	noun
धौतशिल	n	noun
धौताञ्जनी	f	noun
धौतात्मन्		adj
धौतापाङ्ग		adj
धौति	f	noun
धौती	f	noun
धौन्धुमार		adj
धौन्धुमारि	m	noun
धौमक	m	noun
धौमत	m	noun
धौमायन	m	noun
धौमीय		adj
धौम्य	m	noun
धौम्यशिक्षा	f	noun
धौम्यस्मृति	f	noun
धौम्र	m,n	noun
धौम्रायण	m	noun
धौर	m	noun
धौरादित्यतीर्थ	n	noun
धौरितक	n	noun
धौरेय	m	noun,adj
धौर्जट		adj
धौर्तक	n	noun
धौर्तिक	n	noun,adj
धौर्तेय	m	noun
धौर्त्य	n	noun
धौवकि	m	noun
धौष्य	m	noun
ध्म		adj
ध्मा	m	noun
ध्माकार	m	noun
ध्माङ्क्ष	m	noun
ध्मात	n	noun,adj
ध्मातव्य		adj
ध्मातृ	m,n	noun
ध्मान	n	noun
ध्मापन	n	noun
ध्मापित		adj
ध्मायत्		adj
ध्या	f	noun
ध्यात		adj
ध्यातमात्र		adj
ध्यातमात्रागत		adj
ध्यातमात्रोपगामिन्		adj
ध्यातमात्रोपनत		adj
ध्यातमात्रोपस्थित		adj
ध्यातव्य		adj
ध्यातृ	m	noun
ध्यातृध्यातव्यत्व	n	noun
ध्यात्व	n	noun
ध्यान	m,n	noun
ध्यानगम्य		adj
ध्यानगोचर	m	noun
ध्यानचक्षुस्	n	noun
ध्यानच्छेद	m	noun
ध्यानजप्य	m	noun
ध्यानतत्पर		adj
ध्यानतरंगटीका	f	noun
ध्यानदीप	m	noun
ध्यानदीपिका	f	noun
ध्यानदृष्टि		adj
ध्यानद्युति	m	noun
ध्यानधीर		adj
ध्याननित्य		adj
ध्याननिष्ठ		adj
ध्यानपर		adj
ध्यानपारमिता	f	noun
ध्यानपूत		adj
ध्यानफल	n	noun
ध्यानबिन्दूपनिषद्	f	noun
ध्यानभङ्ग	m	noun
ध्यानमय		adj
ध्यानमात्र	n	noun
ध्यानमुद्रा	f	noun
ध्यानयोग	m	noun
ध्यानयोगसर	m	noun
ध्यानयोगिन्		adj
ध्यानलक्षण	n	noun
ध्यानवत्		adj
ध्यानवल्लरी	f	noun
ध्यानशतक	n	noun
ध्यानशीला	f	noun
ध्यानस्तिमितलोचन		adj
ध्यानस्थ		adj
ध्यानस्थित		adj
ध्यानागार	m	noun
ध्यानाम्बा	f	noun
ध्यानालंकार	m	noun
ध्यानावचर	m	noun
ध्यानाश्रयटीका	f	noun
ध्यानास्पद	n	noun
ध्यानाहार	m	noun
ध्यानिक		adj
ध्यानिन्		adj
ध्यानिबुद्ध	m	noun
ध्यानीय		adj
ध्याम	n	noun,adj
ध्यामक	n	noun
ध्यामल		adj
ध्यामीकरण	n	noun
ध्यामीकृत		adj
ध्यायति	m	noun
ध्यायत्		adj
ध्यायमान		adj
ध्यायम्		ind
ध्यायिन्		adj
ध्युषित		adj
ध्युषिताश्व	m	noun
ध्येय		adj
ध्र		adj
ध्रजस्	n	noun
ध्रजीमत्		adj
ध्राक्षामत्		adj
ध्राज	m	noun
ध्राजि	f	noun
ध्राज्	f	noun
ध्राडि	m	noun
ध्रियमाण		adj
ध्रुति	f	noun
ध्रुपदाख्यनृत्य	n	noun
ध्रुव	m,n	noun,adj
ध्रुवक	m	noun
ध्रुवकभाग	m	noun
ध्रुवका	f	noun
ध्रुवकिन्		adj
ध्रुवकेतु	m	noun
ध्रुवक्षिति	m	noun,adj
ध्रुवक्षित्		adj
ध्रुवक्षेत्र	n	noun
ध्रुवक्षेम		adj
ध्रुवगति	f	noun,adj
ध्रुवगीतनृत्य	n	noun
ध्रुवगोप	m	noun
ध्रुवचक्र	n	noun
ध्रुवच्युत्		adj
ध्रुवतारक	n	noun
ध्रुवतारा	f	noun
ध्रुवत्व	n	noun
ध्रुवदेवी	f	noun
ध्रुवनडि	f	noun
ध्रुवनृत्य	n	noun
ध्रुवपटु	m	noun
ध्रुवपद	n	noun
ध्रुवपाल	m	noun
ध्रुवभाग	m	noun
ध्रुवभ्रमण	n	noun
ध्रुवभ्रमणयन्त्र	n	noun
ध्रुवभ्रमणाधिकार	m	noun
ध्रुवमण्डल	n	noun
ध्रुवमानस	n	noun
ध्रुवम्		ind
ध्रुवयष्टि	f	noun
ध्रुवयोनि		adj
ध्रुवरत्ना	f	noun
ध्रुवराज	m	noun
ध्रुवराहु	m	noun
ध्रुवलक्षण	n	noun
ध्रुवशील		adj
ध्रुवसंधि	m	noun
ध्रुवसद्		adj
ध्रुवसिद्धि	m	noun
ध्रुवसूक्त	n	noun
ध्रुवसे		ind
ध्रुवसेन	m	noun
ध्रुवस्तुति	f	noun
ध्रुवस्थाली	f	noun
ध्रुवा	f	noun
ध्रुवाक्षर	n	noun
ध्रुवाडक	n	noun
ध्रुवानन्द	m	noun
ध्रुवानन्दमतव्याख्या	f	noun
ध्रुवाय		ind
ध्रुवावर्त	m	noun
ध्रुवाश्व	m	noun
ध्रुवि		adj
ध्रूणा	f	noun
ध्रौपद	n	noun
ध्रौव		adj
ध्रौवकि	m	noun
ध्रौवपदटीका	f	noun
ध्रौव्य	n	noun,adj
ध्वंस	m	noun
ध्वंसक	m	noun,adj
ध्वंसकारिन्		adj
ध्वंसन	n	noun,adj
ध्वंसि	m	noun
ध्वंसित		adj
ध्वंसिन्	m	noun,adj
ध्वंसी	f	noun
ध्वज	m	noun
ध्वजगृह	n	noun
ध्वजग्रीव	m	noun
ध्वजद्रुम	m	noun,adj
ध्वजनवमी	f	noun
ध्वजपट	m	noun
ध्वजपताकिन्		adj
ध्वजप्रहरण	m	noun
ध्वजभङ्ग	m	noun
ध्वजयन्त्र	n	noun
ध्वजयष्टि	f	noun
ध्वजराजिन्		adj
ध्वजवती	f	noun
ध्वजवत्	m	noun,adj
ध्वजवद	m	noun
ध्वजवृक्ष	m	noun
ध्वजसमुच्छ्रय	m	noun
ध्वजहृत		adj
ध्वजांशुक	m	noun
ध्वजाकार		adj
ध्वजाग्र	m,n	noun
ध्वजाग्रकेयूर	m	noun
ध्वजाग्रनिशामणि	m	noun
ध्वजाग्रवती	f	noun
ध्वजारोपण	n	noun
ध्वजारोह	m	noun
ध्वजारोहण	n	noun
ध्वजाहृत		adj
ध्वजिनी	f	noun
ध्वजिनीपति	m	noun
ध्वजिनीपाल	m	noun
ध्वजिन्	m	noun,adj
ध्वजिन्युत्सवसंकेत	m	noun
ध्वजीकरण	n	noun
ध्वजोच्छ्राय	m	noun
ध्वजोत्थान	n	noun
ध्वजोत्थापन	n	noun
ध्वजोत्थापनमन्त्र	m	noun
ध्वजोन्नति	f	noun
ध्वन	m	noun
ध्वनन	n	noun
ध्वनमोदिन्	m	noun
ध्वनयत्	m	noun
ध्वनि	m	noun
ध्वनिकार	m	noun
ध्वनिगाथापञ्जिका	f	noun
ध्वनिग्रह	m	noun
ध्वनित	n	noun,adj
ध्वनित्व	n	noun
ध्वनिध्वंस	m	noun
ध्वनिनाथ	m	noun
ध्वनिनाला	f	noun
ध्वनिप्रदीप	m	noun
ध्वनिबोधक	m	noun
ध्वनिमत्		adj
ध्वनिमत्ता	f	noun
ध्वनिविकार	m	noun
ध्वनिविवेक	m	noun
ध्वन्य	m	noun
ध्वन्यर्थ	m	noun
ध्वन्याचार्य	m	noun
ध्वन्यात्मक		adj
ध्वन्यालोक	m,n	noun
ध्वरस्	f	noun
ध्वरा	f	noun
ध्वसनि	m	noun
ध्वसन्	m	noun
ध्वसन्ति	m	noun
ध्वसिर		adj
ध्वस्		adj
ध्वस्त		adj
ध्वस्तकमल		adj
ध्वस्तधी	m	noun
ध्वस्तप्रेमन्		adj
ध्वस्तमूर्धज		adj
