# stem	genders(m,f,n)	kind — from Monier-Williams (CDSL), see scripts/import-mw.ts
अग्निज्वाल	m	noun
अग्निज्वाला	f	noun
अग्नितनु	f	noun
अग्नितपस्		adj
अग्नितप्		adj
अग्नितप्त		adj
अग्निता	f	noun
अग्नितुण्ड	m	noun
अग्नितेजस्	m	noun,adj
अग्नित्रय	f,n	noun
अग्नित्रा		adj
अग्निद	m	noun
अग्निदग्ध	m,n	noun,adj
अग्निदत्त	m	noun
अग्निदमनी	f	noun
अग्निदायक	m	noun
अग्निदाह	m	noun
अग्निदिश्	f	noun
अग्निदीपन		adj
अग्निदीप्त		adj
अग्निदीप्ता	f	noun
अग्निदीप्ति	f	noun
अग्निदूत		adj
अग्निदूषित		adj
अग्निदेव	m	noun
अग्निदेवत		adj
अग्निदेवा	f	noun
अग्निदैवत	n	noun
अग्निधान	n	noun
अग्निध्	m	noun
अग्निनक्षत्र	n	noun
अग्निनयन	n	noun
अग्निनामन्	n	noun
अग्निनारायण	m	noun
अग्निनिधान	n	noun
अग्निनिर्यास	m	noun
अग्निनुन्न		adj
अग्निनेत्र		adj
अग्निन्यक्त		adj
अग्निपक्व		adj
अग्निपतन	n	noun
अग्निपद	m	noun
अग्निपरिक्रिया	f	noun
अग्निपरिच्छद	m	noun
अग्निपरिधान	n	noun
अग्निपरीक्षा	f	noun
अग्निपर्वत	m	noun
अग्निपात	m	noun
अग्निपानीय	n	noun
अग्निपुच्छ	n	noun
अग्निपुत्र	m	noun
अग्निपुरा	f	noun
अग्निपुराण	n	noun
अग्निपुरोगम		adj
अग्निप्रणयन	n	noun
अग्निप्रणयनीय		adj
अग्निप्रतिष्ठा	f	noun
अग्निप्रदान	n	noun
अग्निप्रभा	f	noun
अग्निप्रवेश	m,n	noun
अग्निप्रस्तर	m	noun
अग्निप्रायश्चित्त	f,n	noun
अग्निबाहु	m	noun
अग्निबीज	n	noun
अग्निभ	n	noun
अग्निभाण्ड	n	noun
अग्निभु	n	noun
अग्निभू	m	noun
अग्निभूति	m	noun
अग्निभ्राजस्		adj
अग्निमणि	m	noun
अग्निमत्		adj
अग्निमदन	n	noun
अग्निमन्	m	noun
अग्निमन्थ	m	noun,adj
अग्निमन्थन	n	noun
अग्निमन्थनीय		adj
अग्निमय		adj
अग्निमाठर	m	noun
अग्निमान्द्य	n	noun
अग्निमारुति	m	noun
अग्निमित्र	m	noun
अग्निमिन्ध	m	noun
अग्निमीयाम	m	noun
अग्निमुख	m	noun,adj
अग्निमुखी	f	noun
अग्निमूढ		adj
अग्नियुत	m	noun
अग्नियोजन	n	noun
अग्नियौन		adj
अग्निरक्षण	n	noun
अग्निरज	m	noun
अग्निरहस्य	n	noun
अग्निरहस्यकाण्ड	n	noun
अग्निराजन्		adj
अग्निराशि	m	noun
अग्निरुहा	f	noun
अग्निरूप	n	noun,adj
अग्निरेतस		adj
अग्निरोहिणी	f	noun
अग्निलोक	m	noun
अग्निलोचन	m	noun
अग्निवत्		adj
अग्निवर्चस्	m	noun
अग्निवर्ण	m	noun,adj
अग्निवर्धक		adj
अग्निवल्लभ	m	noun
अग्निवह		adj
अग्निवाण	m	noun
अग्निवादिन्	m	noun
अग्निवार्त्त		adj
अग्निवासस्		adj
अग्निवाह	m	noun
अग्निविधा	f	noun
अग्निविमोचन	n	noun
अग्निविश्	f	noun
अग्निविसर्प	m	noun
अग्निविहरण	n	noun
अग्निवीर्य	n	noun
अग्निवृद्धि	f	noun
अग्निवेताल	m	noun
अग्निवेला	f	noun
अग्निवेश	m	noun
अग्निवेश्मन्	m	noun
अग्निवेश्य	m	noun
अग्निशकटी	f	noun
अग्निशक्ति	f	noun
अग्निशरण	f,n	noun
अग्निशर्मन्	m	noun
अग्निशिख	m,n	noun,adj
अग्निशिखा	f	noun
अग्निशुश्रूषा	f	noun
अग्निशेखर	n	noun
अग्निशेष	m	noun
अग्निशौचवस्त्र	n	noun
अग्निश्री		adj
अग्निश्रोणि	f	noun
अग्निष्टुत्	m	noun
अग्निष्टोम	m	noun
अग्निष्टोमयाजिन्		adj
अग्निष्टोमसद्		adj
अग्निष्टोमसद्य	n	noun
अग्निष्टोमसाम	m,n	noun
अग्निष्टोमहोत्र	n	noun
अग्निष्ठ	m	noun,adj
अग्निष्ठा	f	noun
अग्निष्ठिका	f	noun
अग्निष्वात्त	m	noun
अग्निसंकाश		adj
अग्निसंचय	m	noun
अग्निसंदीपन		adj
अग्निसंस्कार	m	noun
अग्निसख	m	noun
अग्निसज्जा	f	noun
अग्निसमाधान	n	noun
अग्निसम्भव	m	noun,adj
अग्निसरस्	n	noun
अग्निसव	m	noun
अग्निसहाय	m	noun
अग्निसाक्षिक		adj
अग्निसाक्षिकमर्याद		adj
अग्निसात्		ind
अग्निसाद	m	noun
अग्निसार	n	noun
अग्निसावर्णि	m	noun
अग्निसिंह	m	noun
अग्निसूत्र	n	noun
अग्निस्तम्भ	m	noun
अग्निस्तम्भन	n	noun
अग्निस्तोक	m	noun
अग्निस्थल	n	noun
अग्निस्पर्श		adj
अग्निहवन	n	noun
अग्निहुत्		adj
अग्निहोतृ	m	noun
अग्निहोतृब्राह्मण	m	noun
अग्निहोत्र	n	noun,adj
अग्निहोत्रत्व	n	noun
अग्निहोत्रदेवता	f	noun
अग्निहोत्रप्रायण		adj
अग्निहोत्रवेला	f	noun
अग्निहोत्रस्थाली	f	noun
अग्निहोत्रहवनी	f	noun
अग्निहोत्रहुत्		adj
अग्निहोत्रहोम	m	noun
अग्निहोत्रायणिन्		adj
अग्निहोत्रावृत्	f	noun
अग्निहोत्राहुति	f	noun
अग्निहोत्रिन्		adj
अग्निहोत्री	f	noun
अग्निहोत्रीवत्स	m	noun
अग्निहोत्रेष्टि	f	noun
अग्निहोत्रोच्छिष्ट	n	noun
अग्निहोत्रोच्छेषण	n	noun
अग्निहोम	m	noun
अग्निह्वर		adj
अग्नीध्	m	noun
अग्नीध्र	m	noun
अग्नीन्द्रौ	m	noun
अग्नीन्धन	n	noun
अग्नीपर्जन्यौ	m	noun
अग्नीय		adj
अग्नीवरुणौ	m	noun
अग्नीषोमप्रणयन	n	noun
अग्नीषोमा	m	noun
अग्नीषोमीय		adj
अग्नीषोमीयनिर्वाप	m	noun
अग्नीषोमीयपशु	m	noun
अग्नीषोमीयपश्वनुष्ठान	n	noun
अग्नीषोमीयपुरोडाश	m	noun
अग्नीषोमीययाग	m	noun
अग्नीषोमीयैकादशकपाल	m	noun
अग्नेयानी	f	noun
अग्नौकरण	n	noun
अग्न्यगार	m	noun
अग्न्यभाव	m	noun
अग्न्यर्चि	m	noun
अग्न्यर्चिस्	f	noun
अग्न्यात्मक		adj
अग्न्याधान	n	noun
अग्न्याधेयदेवता	f	noun
अग्न्याधेयरूप	n	noun
अग्न्याधेयशर्करा	f	noun
अग्न्याधेयहविस्	n	noun
अग्न्यायतन	n	noun
अग्न्यालय	m	noun
अग्न्याहित	m	noun
अग्न्युत्पात	m	noun
अग्न्युत्सादिन्		adj
अग्न्युद्धरण	n	noun
अग्न्युपस्थान	n	noun
अग्न्येध	m	noun
अग्मन्	n	noun
अग्र	n	noun,adj
अग्रकर	m	noun
अग्रकाय	m	noun
अग्रग	m	noun
अग्रगणना	f	noun
अग्रगण्य		adj
अग्रगामिन्		adj
अग्रग्रासिका	f	noun
अग्रच्छद	n	noun
अग्रज	m	noun,adj
अग्रजङ्घा	f	noun
अग्रजन्मन्	m	noun
अग्रजा	f	noun,adj
अग्रजातक	m	noun
अग्रजिह्व	n	noun
अग्रज्या	f	noun
अग्रणी		adj
अग्रणीति	f	noun
अग्रतःसर		adj
अग्रतलसंचार	m	noun
अग्रतस्		ind
अग्रतीर्थ	m	noun
अग्रदातृ		adj
अग्रदानिन्	m	noun
अग्रदिधिषु	m	noun
अग्रदेवी	f	noun
अग्रद्रवसंहति	f	noun
अग्रधर्म	m	noun
अग्रनख	m	noun
अग्रनासिका	f	noun
अग्रनिरूपण	n	noun
अग्रपर्णी	f	noun
अग्रपा		adj
अग्रपाक	m	noun
अग्रपाणि	m	noun
अग्रपाद	m	noun
अग्रपूजा	f	noun
अग्रपेय	n	noun
अग्रप्रदायिन्		adj
अग्रप्रशीर्ण		adj
अग्रबीज	m	noun,adj
अग्रबोधि	m	noun
अग्रभण		adj
अग्रभाग	m	noun
अग्रभुज्		adj
अग्रभू		adj
अग्रभूमि	f	noun
अग्रभोज्य		adj
अग्रमहिषी	f	noun
अग्रमांस	n	noun
अग्रम्		ind
अग्रयान	n	noun
अग्रयायिन्	m	noun,adj
अग्रयावन्		adj
अग्रयोधिन्	m	noun
अग्रलोहिता	f	noun
अग्रवक्त्र	n	noun
अग्रवत्		adj
अग्रशस्		ind
अग्रशिख		adj
अग्रश्रावक	f,m	noun
अग्रसंख्या	f	noun
अग्रसंधानी	f	noun
अग्रसन्ध्या	f	noun
अग्रसर		adj
अग्रसानु	m	noun
अग्रसारा	f	noun
अग्रसूची	f	noun
अग्रसेन	m	noun
अग्रस्त		adj
अग्रह	m	noun,adj
अग्रहण	n	noun,adj
अग्रहस्त	m	noun
अग्रहायण	m	noun
अग्रहार	m	noun
अग्रा	f	noun
अग्रांशु	m	noun
अग्राक्षन्	n	noun
अग्राग्र		adj
अग्राङ्गुलि	m	noun
अग्राद्वन्		adj
अग्रानीक	n	noun
अग्रान्त	m,n	noun
अग्राम्य		adj
अग्रायणीय	n	noun
अग्राशन		adj
अग्रासन	n	noun
अग्राहिन्		adj
अग्राह्य		adj
अग्राह्यक		adj
अग्रि	m	noun
अग्रिम		adj
अग्रिमवती	f	noun
अग्रिमा	f	noun
अग्रिय	m,n	noun,adj
अग्रियवत्	f	noun,adj
अग्रीय	m	noun,adj
अग्रु	m	noun
अग्रू	f	noun
अग्रे		ind
अग्रेग		adj
अग्रेगू		adj
अग्रेण		ind
अग्रेणी	m	noun
अग्रेतन		adj
अग्रेत्वन्		adj
अग्रेदधुस्	m	noun
अग्रेदिधिषु	f	noun
अग्रेपा		adj
अग्रेभ्रू	m	noun
अग्रेवण	n	noun
अग्रेवध	m	noun
अग्रेसर		adj
अग्रेसरिक	m	noun
अग्रोपहरणीय		adj
अग्र्य	m,n	noun,adj
अग्र्यतपस्	m	noun
अग्र्या	f	noun
अघ	m,n	noun,adj
अघकृत्		adj
अघघ्न	m	noun,adj
अघटमान		adj
